,timestamp,symbol,type,side,price,amount,cost,leverage,pnl_usdt,pnl_pct,fee,order_id
34,2026-05-13 00:20:24.498,ARB/USDT:USDT,청산,sell,0.13584,0.1,0.14,10x,0.0,0.22,6.8e-05,3560018682995482624
35,2026-05-13 00:20:24.498,ARB/USDT:USDT,청산,sell,0.13584,0.9,1.22,10x,0.0003,0.22,0.000611,3560018682995482624
36,2026-05-13 00:20:24.498,ARB/USDT:USDT,청산,sell,0.13584,0.2,0.27,10x,0.0001,0.22,0.000136,3560018682995482624
37,2026-05-13 00:20:24.498,ARB/USDT:USDT,청산,sell,0.13584,1.6,2.17,10x,0.0005,0.22,0.001087,3560018682995482624
38,2026-05-13 00:20:24.498,ARB/USDT:USDT,청산,sell,0.13583,1.9,2.58,10x,0.0004,0.15,0.00129,3560018682995482624
39,2026-05-13 00:20:24.992,NMR/USDT:USDT,청산,sell,9.233,7.0,6.46,10x,0.01,1.55,0.003232,3560018699604926464
40,2026-05-13 00:20:27.369,ENS/USDT:USDT,진입,buy,6.901,14.0,9.66,10x,0.0,0.0,0.004831,3560018779363811329
41,2026-05-13 00:20:30.918,VANA/USDT:USDT,진입,buy,1.656,67.0,11.1,10x,0.0,0.0,0.005548,3560018898448490496
42,2026-05-13 00:21:17.657,NMR/USDT:USDT,진입,buy,9.234,7.0,6.46,10x,0.0,0.0,0.003232,3560020466749087744
43,2026-05-13 00:28:41.428,ENS/USDT:USDT,청산,sell,6.823,14.0,9.55,10x,-0.1092,-11.43,0.004776,3560035357199376384
44,2026-05-13 00:28:44.457,VANA/USDT:USDT,청산,sell,1.637,67.0,10.97,10x,-0.1273,-11.61,0.002194,3560035345555988481
45,2026-05-13 00:32:52.021,TAO/USDT:USDT,진입,buy,307.5,3.0,9.22,10x,0.0,0.0,0.004613,3560043765705154560
46,2026-05-13 00:33:35.070,ARB/USDT:USDT,진입,buy,0.13588,1.3,1.77,10x,0.0,0.0,0.000883,3560045210223452160
47,2026-05-13 00:33:35.070,ARB/USDT:USDT,진입,buy,0.13588,7.2,9.78,10x,0.0,0.0,0.004892,3560045210223452160
48,2026-05-13 00:33:38.417,NMR/USDT:USDT,진입,buy,9.251,7.0,6.48,10x,0.0,0.0,0.003238,3560045322496581632
49,2026-05-13 00:34:47.960,TIA/USDT:USDT,진입,buy,0.4356,20.0,8.71,10x,0.0,0.0,0.004356,3560047656006000640
