시간,심볼,유형,방향,가격,수량,수익(USDT),수익률(%),레버리지,주문ID
2026-05-21 22:36:32,WCT/USDT:USDT,진입,short,0.06434,388.0,0,0,5,ID_2104172573
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,6.72,5,ID_882263084
2026-05-21 22:39:27,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:27,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:28,SOL/USDT:USDT,진입,short,170.0,0.147059,0,0,5,ID_MOCK-000002
2026-05-21 22:39:30,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:30,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:30,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779370770050
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,13.44,10,ID_882263084
2026-05-21 22:40:12,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:40:14,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:40:14,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:40:14,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779370814398
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,6.72,5,ID_882263084
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,5.27,5,ID_522606721
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,10.53,10,ID_522606721
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,5.27,5,ID_522606721
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,6.72,5,ID_882263084
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,5.27,5,ID_522606721
2026-05-21 22:47:39,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:47:40,ETH/USDT:USDT,진입,short,3800.0,0.065789,0,0,5,ID_MOCK-000001
2026-05-21 22:47:42,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:47:42,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:47:42,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779371262090
2026-05-21 22:48:42,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:48:43,ETH/USDT:USDT,진입,long,3800.0,0.065789,0,0,5,ID_MOCK-000001
2026-05-21 22:48:44,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:48:44,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
